player,team,lg,season,replaced,conference,team_captain
Charlie Scott,East,ABA,1972,FALSE,East,N/A
George Thompson,East,ABA,1972,FALSE,East,N/A
Zelmo Beaty,West,ABA,1972,FALSE,West,N/A
Arthur Becker,West,ABA,1972,FALSE,West,N/A
Roger Brown,West,ABA,1972,FALSE,West,N/A
Glen Combs,West,ABA,1972,FALSE,West,N/A
Mel Daniels,West,ABA,1972,FALSE,West,N/A
Donnie Freeman,West,ABA,1972,FALSE,West,N/A
Steve Jones,West,ABA,1972,FALSE,West,N/A
Wil Jones,West,ABA,1972,FALSE,West,N/A
Wendell Ladner,West,ABA,1972,FALSE,West,N/A
Freddie Lewis,West,ABA,1972,FALSE,West,N/A
Ralph Simpson,West,ABA,1972,FALSE,West,N/A
Willie Wise,West,ABA,1972,FALSE,West,N/A
Butch Beard,East,NBA,1972,FALSE,East,N/A
Archie Clark,East,NBA,1972,FALSE,East,N/A
Dave Cowens,East,NBA,1972,FALSE,East,N/A
Billy Cunningham,East,NBA,1972,FALSE,East,N/A
Dave DeBusschere,East,NBA,1972,FALSE,East,N/A
Walt Frazier,East,NBA,1972,FALSE,East,N/A
John Havlicek,East,NBA,1972,FALSE,East,N/A
Lou Hudson,East,NBA,1972,FALSE,East,N/A
John Johnson,East,NBA,1972,FALSE,East,N/A
Bob Kauffman,East,NBA,1972,FALSE,East,N/A
Jack Marin,East,NBA,1972,FALSE,East,N/A
Wes Unseld,East,NBA,1972,FALSE,East,N/A
Tom Van Arsdale,East,NBA,1972,FALSE,East,N/A
Jo Jo White,East,NBA,1972,FALSE,East,N/A
Kareem Abdul-Jabbar,West,NBA,1972,FALSE,West,N/A
Wilt Chamberlain,West,NBA,1972,FALSE,West,N/A
Gail Goodrich,West,NBA,1972,FALSE,West,N/A
Connie Hawkins,West,NBA,1972,FALSE,West,N/A
Elvin Hayes,West,NBA,1972,FALSE,West,N/A
Spencer Haywood,West,NBA,1972,FALSE,West,N/A
Bob Lanier,West,NBA,1972,FALSE,West,N/A
Bob Love,West,NBA,1972,FALSE,West,N/A
Oscar Robertson,West,NBA,1972,FALSE,West,N/A
Cazzie Russell,West,NBA,1972,FALSE,West,N/A
Paul Silas,West,NBA,1972,FALSE,West,N/A
Jimmy Walker,West,NBA,1972,FALSE,West,N/A
Jerry West,West,NBA,1972,FALSE,West,N/A
Sidney Wicks,West,NBA,1972,FALSE,West,N/A
Rick Barry,East,ABA,1971,FALSE,East,N/A
John Brisker,East,ABA,1971,FALSE,East,N/A
Joe Caldwell,East,ABA,1971,FALSE,East,N/A
Mack Calvin,East,ABA,1971,FALSE,East,N/A
George Carter,East,ABA,1971,FALSE,East,N/A
Dan Issel,East,ABA,1971,FALSE,East,N/A
Neil Johnson,East,ABA,1971,FALSE,East,N/A
Larry Jones,East,ABA,1971,FALSE,East,N/A
Mike Lewis,East,ABA,1971,FALSE,East,N/A
Bill Melchionni,East,ABA,1971,FALSE,East,N/A
Cincinnatus Powell,East,ABA,1971,FALSE,East,N/A
Charlie Scott,East,ABA,1971,FALSE,East,N/A
Zelmo Beaty,West,ABA,1971,FALSE,West,N/A
Ron Boone,West,ABA,1971,FALSE,West,N/A
Roger Brown,West,ABA,1971,FALSE,West,N/A
Glen Combs,West,ABA,1971,FALSE,West,N/A
Mel Daniels,West,ABA,1971,FALSE,West,N/A
Donnie Freeman,West,ABA,1971,FALSE,West,N/A
Jimmy Jones,West,ABA,1971,FALSE,West,N/A
Steve Jones,West,ABA,1971,FALSE,West,N/A
Julius Keye,West,ABA,1971,FALSE,West,N/A
Wendell Ladner,West,ABA,1971,FALSE,West,N/A
Bob Netolicky,West,ABA,1971,FALSE,West,N/A
Red Robbins,West,ABA,1971,FALSE,West,N/A
Billy Cunningham,East,NBA,1971,FALSE,East,N/A
Dave DeBusschere,East,NBA,1971,FALSE,East,N/A
Walt Frazier,East,NBA,1971,FALSE,East,N/A
Johnny Green,East,NBA,1971,FALSE,East,N/A
John Havlicek,East,NBA,1971,FALSE,East,N/A
Lou Hudson,East,NBA,1971,FALSE,East,N/A
Gus Johnson,East,NBA,1971,FALSE,East,N/A
John Johnson,East,NBA,1971,FALSE,East,N/A
Bob Kauffman,East,NBA,1971,FALSE,East,N/A
Earl Monroe,East,NBA,1971,FALSE,East,N/A
Willis Reed,East,NBA,1971,FALSE,East,N/A
Wes Unseld,East,NBA,1971,FALSE,East,N/A
Tom Van Arsdale,East,NBA,1971,FALSE,East,N/A
Jo Jo White,East,NBA,1971,FALSE,East,N/A
Kareem Abdul-Jabbar,West,NBA,1971,FALSE,West,N/A
Dave Bing,West,NBA,1971,FALSE,West,N/A
Wilt Chamberlain,West,NBA,1971,FALSE,West,N/A
Connie Hawkins,West,NBA,1971,FALSE,West,N/A
Elvin Hayes,West,NBA,1971,FALSE,West,N/A
Bob Love,West,NBA,1971,FALSE,West,N/A
Jerry Lucas,West,NBA,1971,FALSE,West,N/A
Jeff Mullins,West,NBA,1971,FALSE,West,N/A
Geoff Petrie,West,NBA,1971,FALSE,West,N/A
Oscar Robertson,West,NBA,1971,FALSE,West,N/A
Dick Van Arsdale,West,NBA,1971,FALSE,West,N/A
Chet Walker,West,NBA,1971,FALSE,West,N/A
Jerry West,West,NBA,1971,FALSE,West,N/A
Lenny Wilkens,West,NBA,1971,FALSE,West,N/A
Roger Brown,East,ABA,1970,FALSE,East,N/A
Darel Carrier,East,ABA,1970,FALSE,East,N/A
Louie Dampier,East,ABA,1970,FALSE,East,N/A
Mel Daniels,East,ABA,1970,FALSE,East,N/A
Donnie Freeman,East,ABA,1970,FALSE,East,N/A
Mike Lewis,East,ABA,1970,FALSE,East,N/A
Doug Moe,East,ABA,1970,FALSE,East,N/A
Gene Moore,East,ABA,1970,FALSE,East,N/A
Bob Netolicky,East,ABA,1970,FALSE,East,N/A
Levern Tart,East,ABA,1970,FALSE,East,N/A
Bob Verga,East,ABA,1970,FALSE,East,N/A
Charlie Williams,East,ABA,1970,FALSE,East,N/A
Rick Barry,West,ABA,1970,FALSE,West,N/A
John Beasley,West,ABA,1970,FALSE,West,N/A
Larry Brown,West,ABA,1970,FALSE,West,N/A
Glen Combs,West,ABA,1970,FALSE,West,N/A
Warren Davis,West,ABA,1970,FALSE,West,N/A
Gerald Govan,West,ABA,1970,FALSE,West,N/A
Spencer Haywood,West,ABA,1970,FALSE,West,N/A
Warren Jabali,West,ABA,1970,FALSE,West,N/A
Jimmy Jones,West,ABA,1970,FALSE,West,N/A
Larry Jones,West,ABA,1970,FALSE,West,N/A
Steve Jones,West,ABA,1970,FALSE,West,N/A
Cincinnatus Powell,West,ABA,1970,FALSE,West,N/A
Red Robbins,West,ABA,1970,TRUE,West,N/A
Kareem Abdul-Jabbar,East,NBA,1970,FALSE,East,N/A
Billy Cunningham,East,NBA,1970,FALSE,East,N/A
Dave DeBusschere,East,NBA,1970,FALSE,East,N/A
Walt Frazier,East,NBA,1970,FALSE,East,N/A
Hal Greer,East,NBA,1970,FALSE,East,N/A
John Havlicek,East,NBA,1970,FALSE,East,N/A
Gus Johnson,East,NBA,1970,FALSE,East,N/A
Willis Reed,East,NBA,1970,FALSE,East,N/A
Oscar Robertson,East,NBA,1970,FALSE,East,N/A
Flynn Robinson,East,NBA,1970,FALSE,East,N/A
Tom Van Arsdale,East,NBA,1970,FALSE,East,N/A
Jimmy Walker,East,NBA,1970,FALSE,East,N/A
Elgin Baylor,West,NBA,1970,FALSE,West,N/A
Bill Bridges,West,NBA,1970,FALSE,West,N/A
Joe Caldwell,West,NBA,1970,FALSE,West,N/A
Connie Hawkins,West,NBA,1970,FALSE,West,N/A
Elvin Hayes,West,NBA,1970,FALSE,West,N/A
Lou Hudson,West,NBA,1970,FALSE,West,N/A
Jeff Mullins,West,NBA,1970,FALSE,West,N/A
Bob Rule,West,NBA,1970,FALSE,West,N/A
Nate Thurmond,West,NBA,1970,TRUE,West,N/A
Dick Van Arsdale,West,NBA,1970,FALSE,West,N/A
Chet Walker,West,NBA,1970,FALSE,West,N/A
Jerry West,West,NBA,1970,FALSE,West,N/A
Lenny Wilkens,West,NBA,1970,FALSE,West,N/A
Darel Carrier,East,ABA,1969,FALSE,East,N/A
Louie Dampier,East,ABA,1969,FALSE,East,N/A
Mel Daniels,East,ABA,1969,FALSE,East,N/A
Donnie Freeman,East,ABA,1969,FALSE,East,N/A
Les Hunter,East,ABA,1969,FALSE,East,N/A
Goose Ligon,East,ABA,1969,FALSE,East,N/A
Bob Netolicky,East,ABA,1969,FALSE,East,N/A
Walter Simon,East,ABA,1969,FALSE,East,N/A
Skip Thoren,East,ABA,1969,FALSE,East,N/A
Trooper Washington,East,ABA,1969,FALSE,East,N/A
Charlie Williams,East,ABA,1969,FALSE,East,N/A
Rick Barry,West,ABA,1969,FALSE,West,N/A
John Beasley,West,ABA,1969,FALSE,West,N/A
Byron Beck,West,ABA,1969,FALSE,West,N/A
Larry Brown,West,ABA,1969,FALSE,West,N/A
Warren Davis,West,ABA,1969,FALSE,West,N/A
Wayne Hightower,West,ABA,1969,FALSE,West,N/A
Mervin Jackson,West,ABA,1969,FALSE,West,N/A
Jimmy Jones,West,ABA,1969,FALSE,West,N/A
Larry Jones,West,ABA,1969,FALSE,West,N/A
Doug Moe,West,ABA,1969,FALSE,West,N/A
Red Robbins,West,ABA,1969,FALSE,West,N/A
Willie Somerset,West,ABA,1969,FALSE,West,N/A
Dave Bing,East,NBA,1969,FALSE,East,N/A
Billy Cunningham,East,NBA,1969,FALSE,East,N/A
Hal Greer,East,NBA,1969,FALSE,East,N/A
John Havlicek,East,NBA,1969,FALSE,East,N/A
Gus Johnson,East,NBA,1969,FALSE,East,N/A
Jerry Lucas,East,NBA,1969,FALSE,East,N/A
Jon McGlocklin,East,NBA,1969,FALSE,East,N/A
Earl Monroe,East,NBA,1969,FALSE,East,N/A
Willis Reed,East,NBA,1969,FALSE,East,N/A
Oscar Robertson,East,NBA,1969,FALSE,East,N/A
Bill Russell,East,NBA,1969,FALSE,East,N/A
Wes Unseld,East,NBA,1969,FALSE,East,N/A
Elgin Baylor,West,NBA,1969,FALSE,West,N/A
Joe Caldwell,West,NBA,1969,FALSE,West,N/A
Wilt Chamberlain,West,NBA,1969,FALSE,West,N/A
Gail Goodrich,West,NBA,1969,FALSE,West,N/A
Elvin Hayes,West,NBA,1969,FALSE,West,N/A
Lou Hudson,West,NBA,1969,FALSE,West,N/A
Don Kojis,West,NBA,1969,FALSE,West,N/A
Rudy LaRusso,West,NBA,1969,FALSE,West,N/A
Jeff Mullins,West,NBA,1969,FALSE,West,N/A
Jerry Sloan,West,NBA,1969,FALSE,West,N/A
Dick Van Arsdale,West,NBA,1969,FALSE,West,N/A
Jerry West,West,NBA,1969,TRUE,West,N/A
Lenny Wilkens,West,NBA,1969,FALSE,West,N/A
Roger Brown,East,ABA,1968,FALSE,East,N/A
Darel Carrier,East,ABA,1968,FALSE,East,N/A
Louie Dampier,East,ABA,1968,FALSE,East,N/A
Mel Daniels,East,ABA,1968,FALSE,East,N/A
Donnie Freeman,East,ABA,1968,FALSE,East,N/A
Connie Hawkins,East,ABA,1968,FALSE,East,N/A
Les Hunter,East,ABA,1968,FALSE,East,N/A
Tony Jackson,East,ABA,1968,FALSE,East,N/A
Freddie Lewis,East,ABA,1968,FALSE,East,N/A
Randolph Mahaffey,East,ABA,1968,FALSE,East,N/A
Bob Netolicky,East,ABA,1968,FALSE,East,N/A
Chico Vaughn,East,ABA,1968,FALSE,East,N/A
John Beasley,West,ABA,1968,FALSE,West,N/A
Arthur Becker,West,ABA,1968,FALSE,West,N/A
Larry Brown,West,ABA,1968,FALSE,West,N/A
Larry Bunce,West,ABA,1968,FALSE,West,N/A
Cliff Hagan,West,ABA,1968,FALSE,West,N/A
Jimmy Jones,West,ABA,1968,FALSE,West,N/A
Larry Jones,West,ABA,1968,FALSE,West,N/A
Dewitt Menyard,West,ABA,1968,FALSE,West,N/A
Doug Moe,West,ABA,1968,FALSE,West,N/A
Red Robbins,West,ABA,1968,FALSE,West,N/A
Levern Tart,West,ABA,1968,FALSE,West,N/A
Ben Warley,West,ABA,1968,FALSE,West,N/A
Dick Barnett,East,NBA,1968,FALSE,East,N/A
Dave Bing,East,NBA,1968,FALSE,East,N/A
Wilt Chamberlain,East,NBA,1968,FALSE,East,N/A
Dave DeBusschere,East,NBA,1968,FALSE,East,N/A
Hal Greer,East,NBA,1968,FALSE,East,N/A
John Havlicek,East,NBA,1968,FALSE,East,N/A
Gus Johnson,East,NBA,1968,FALSE,East,N/A
Sam Jones,East,NBA,1968,FALSE,East,N/A
Jerry Lucas,East,NBA,1968,FALSE,East,N/A
Willis Reed,East,NBA,1968,FALSE,East,N/A
Oscar Robertson,East,NBA,1968,FALSE,East,N/A
Bill Russell,East,NBA,1968,FALSE,East,N/A
Walt Hazzard,West,NBA,1968,FALSE,West,N/A
Elgin Baylor,West,NBA,1968,FALSE,West,N/A
Zelmo Beaty,West,NBA,1968,FALSE,West,N/A
Bob Boozer,West,NBA,1968,FALSE,West,N/A
Bill Bridges,West,NBA,1968,FALSE,West,N/A
Archie Clark,West,NBA,1968,FALSE,West,N/A
Jim King,West,NBA,1968,FALSE,West,N/A
Don Kojis,West,NBA,1968,FALSE,West,N/A
Rudy LaRusso,West,NBA,1968,FALSE,West,N/A
Clyde Lee,West,NBA,1968,FALSE,West,N/A
Nate Thurmond,West,NBA,1968,TRUE,West,N/A
Jerry West,West,NBA,1968,FALSE,West,N/A
Lenny Wilkens,West,NBA,1968,FALSE,West,N/A
Wilt Chamberlain,East,NBA,1967,FALSE,East,N/A
Hal Greer,East,NBA,1967,FALSE,East,N/A
John Havlicek,East,NBA,1967,FALSE,East,N/A
Bailey Howell,East,NBA,1967,FALSE,East,N/A
Jerry Lucas,East,NBA,1967,FALSE,East,N/A
Don Ohl,East,NBA,1967,FALSE,East,N/A
Willis Reed,East,NBA,1967,FALSE,East,N/A
Oscar Robertson,East,NBA,1967,FALSE,East,N/A
Bill Russell,East,NBA,1967,FALSE,East,N/A
Chet Walker,East,NBA,1967,FALSE,East,N/A
Rick Barry,West,NBA,1967,FALSE,West,N/A
Elgin Baylor,West,NBA,1967,FALSE,West,N/A
Bill Bridges,West,NBA,1967,FALSE,West,N/A
Dave DeBusschere,West,NBA,1967,FALSE,West,N/A
Darrall Imhoff,West,NBA,1967,FALSE,West,N/A
Guy Rodgers,West,NBA,1967,FALSE,West,N/A
Jerry Sloan,West,NBA,1967,FALSE,West,N/A
Nate Thurmond,West,NBA,1967,FALSE,West,N/A
Jerry West,West,NBA,1967,FALSE,West,N/A
Lenny Wilkens,West,NBA,1967,FALSE,West,N/A
Wilt Chamberlain,East,NBA,1966,FALSE,East,N/A
Hal Greer,East,NBA,1966,FALSE,East,N/A
John Havlicek,East,NBA,1966,FALSE,East,N/A
Sam Jones,East,NBA,1966,FALSE,East,N/A
Jerry Lucas,East,NBA,1966,FALSE,East,N/A
Willis Reed,East,NBA,1966,FALSE,East,N/A
Oscar Robertson,East,NBA,1966,FALSE,East,N/A
Bill Russell,East,NBA,1966,FALSE,East,N/A
Adrian Smith,East,NBA,1966,FALSE,East,N/A
Chet Walker,East,NBA,1966,FALSE,East,N/A
Rick Barry,West,NBA,1966,FALSE,West,N/A
Zelmo Beaty,West,NBA,1966,FALSE,West,N/A
Dave DeBusschere,West,NBA,1966,FALSE,West,N/A
Bailey Howell,West,NBA,1966,FALSE,West,N/A
Rudy LaRusso,West,NBA,1966,FALSE,West,N/A
Eddie Miles,West,NBA,1966,FALSE,West,N/A
Don Ohl,West,NBA,1966,FALSE,West,N/A
Guy Rodgers,West,NBA,1966,FALSE,West,N/A
Nate Thurmond,West,NBA,1966,FALSE,West,N/A
Jerry West,West,NBA,1966,FALSE,West,N/A
Larry Costello,East,NBA,1965,FALSE,East,N/A
Wayne Embry,East,NBA,1965,FALSE,East,N/A
Johnny Green,East,NBA,1965,FALSE,East,N/A
Hal Greer,East,NBA,1965,FALSE,East,N/A
Tom Heinsohn,East,NBA,1965,TRUE,East,N/A
Luke Jackson,East,NBA,1965,FALSE,East,N/A
Sam Jones,East,NBA,1965,FALSE,East,N/A
Jerry Lucas,East,NBA,1965,FALSE,East,N/A
Willis Reed,East,NBA,1965,FALSE,East,N/A
Oscar Robertson,East,NBA,1965,FALSE,East,N/A
Bill Russell,East,NBA,1965,FALSE,East,N/A
Elgin Baylor,West,NBA,1965,FALSE,West,N/A
Walt Bellamy,West,NBA,1965,FALSE,West,N/A
Wilt Chamberlain,West,NBA,1965,FALSE,West,N/A
Terry Dischinger,West,NBA,1965,FALSE,West,N/A
Gus Johnson,West,NBA,1965,FALSE,West,N/A
Don Ohl,West,NBA,1965,FALSE,West,N/A
Bob Pettit,West,NBA,1965,FALSE,West,N/A
Nate Thurmond,West,NBA,1965,FALSE,West,N/A
Jerry West,West,NBA,1965,FALSE,West,N/A
Lenny Wilkens,West,NBA,1965,FALSE,West,N/A
Len Chappell,East,NBA,1964,FALSE,East,N/A
Wayne Embry,East,NBA,1964,FALSE,East,N/A
Tom Gola,East,NBA,1964,FALSE,East,N/A
Hal Greer,East,NBA,1964,FALSE,East,N/A
Tom Heinsohn,East,NBA,1964,FALSE,East,N/A
Sam Jones,East,NBA,1964,FALSE,East,N/A
Jerry Lucas,East,NBA,1964,FALSE,East,N/A
Oscar Robertson,East,NBA,1964,FALSE,East,N/A
Bill Russell,East,NBA,1964,FALSE,East,N/A
Chet Walker,East,NBA,1964,FALSE,East,N/A
Elgin Baylor,West,NBA,1964,FALSE,West,N/A
Walt Bellamy,West,NBA,1964,FALSE,West,N/A
Wilt Chamberlain,West,NBA,1964,FALSE,West,N/A
Terry Dischinger,West,NBA,1964,FALSE,West,N/A
Bailey Howell,West,NBA,1964,FALSE,West,N/A
Don Ohl,West,NBA,1964,FALSE,West,N/A
Bob Pettit,West,NBA,1964,FALSE,West,N/A
Guy Rodgers,West,NBA,1964,FALSE,West,N/A
Jerry West,West,NBA,1964,FALSE,West,N/A
Lenny Wilkens,West,NBA,1964,FALSE,West,N/A
Bob Cousy,East,NBA,1963,FALSE,East,N/A
Wayne Embry,East,NBA,1963,TRUE,East,N/A
Tom Gola,East,NBA,1963,FALSE,East,N/A
Johnny Green,East,NBA,1963,FALSE,East,N/A
Hal Greer,East,NBA,1963,FALSE,East,N/A
Richie Guerin,East,NBA,1963,FALSE,East,N/A
Tom Heinsohn,East,NBA,1963,FALSE,East,N/A
Red Kerr,East,NBA,1963,FALSE,East,N/A
Oscar Robertson,East,NBA,1963,FALSE,East,N/A
Bill Russell,East,NBA,1963,FALSE,East,N/A
Lee Shaffer,East,NBA,1963,FALSE,East,N/A
Jack Twyman,East,NBA,1963,FALSE,East,N/A
Elgin Baylor,West,NBA,1963,FALSE,West,N/A
Walt Bellamy,West,NBA,1963,FALSE,West,N/A
Wilt Chamberlain,West,NBA,1963,FALSE,West,N/A
Terry Dischinger,West,NBA,1963,FALSE,West,N/A
Bailey Howell,West,NBA,1963,FALSE,West,N/A
Rudy LaRusso,West,NBA,1963,FALSE,West,N/A
Tom Meschery,West,NBA,1963,FALSE,West,N/A
Don Ohl,West,NBA,1963,FALSE,West,N/A
Bob Pettit,West,NBA,1963,FALSE,West,N/A
Guy Rodgers,West,NBA,1963,FALSE,West,N/A
Jerry West,West,NBA,1963,FALSE,West,N/A
Lenny Wilkens,West,NBA,1963,FALSE,West,N/A
Paul Arizin,East,NBA,1962,FALSE,East,N/A
Wilt Chamberlain,East,NBA,1962,FALSE,East,N/A
Larry Costello,East,NBA,1962,TRUE,East,N/A
Bob Cousy,East,NBA,1962,FALSE,East,N/A
Tom Gola,East,NBA,1962,TRUE,East,N/A
Johnny Green,East,NBA,1962,FALSE,East,N/A
Hal Greer,East,NBA,1962,FALSE,East,N/A
Richie Guerin,East,NBA,1962,FALSE,East,N/A
Tom Heinsohn,East,NBA,1962,FALSE,East,N/A
Sam Jones,East,NBA,1962,FALSE,East,N/A
Willie Naulls,East,NBA,1962,FALSE,East,N/A
Bill Russell,East,NBA,1962,FALSE,East,N/A
Dolph Schayes,East,NBA,1962,FALSE,East,N/A
Elgin Baylor,West,NBA,1962,FALSE,West,N/A
Walt Bellamy,West,NBA,1962,FALSE,West,N/A
Wayne Embry,West,NBA,1962,FALSE,West,N/A
Cliff Hagan,West,NBA,1962,FALSE,West,N/A
Bailey Howell,West,NBA,1962,FALSE,West,N/A
Rudy LaRusso,West,NBA,1962,TRUE,West,N/A
Bob Pettit,West,NBA,1962,FALSE,West,N/A
Oscar Robertson,West,NBA,1962,FALSE,West,N/A
Frank Selvy,West,NBA,1962,FALSE,West,N/A
Gene Shue,West,NBA,1962,FALSE,West,N/A
Jack Twyman,West,NBA,1962,FALSE,West,N/A
Jerry West,West,NBA,1962,FALSE,West,N/A
Paul Arizin,East,NBA,1961,FALSE,East,N/A
Wilt Chamberlain,East,NBA,1961,FALSE,East,N/A
Larry Costello,East,NBA,1961,FALSE,East,N/A
Bob Cousy,East,NBA,1961,FALSE,East,N/A
Tom Gola,East,NBA,1961,FALSE,East,N/A
Hal Greer,East,NBA,1961,FALSE,East,N/A
Richie Guerin,East,NBA,1961,FALSE,East,N/A
Tom Heinsohn,East,NBA,1961,FALSE,East,N/A
Willie Naulls,East,NBA,1961,FALSE,East,N/A
Bill Russell,East,NBA,1961,FALSE,East,N/A
Dolph Schayes,East,NBA,1961,FALSE,East,N/A
Elgin Baylor,West,NBA,1961,FALSE,West,N/A
Walter Dukes,West,NBA,1961,FALSE,West,N/A
Wayne Embry,West,NBA,1961,FALSE,West,N/A
Cliff Hagan,West,NBA,1961,FALSE,West,N/A
Bailey Howell,West,NBA,1961,FALSE,West,N/A
Hot Rod Hundley,West,NBA,1961,FALSE,West,N/A
Clyde Lovellette,West,NBA,1961,FALSE,West,N/A
Bob Pettit,West,NBA,1961,FALSE,West,N/A
Oscar Robertson,West,NBA,1961,FALSE,West,N/A
Gene Shue,West,NBA,1961,FALSE,West,N/A
Jerry West,West,NBA,1961,FALSE,West,N/A
Paul Arizin,East,NBA,1960,TRUE,East,N/A
Wilt Chamberlain,East,NBA,1960,FALSE,East,N/A
Larry Costello,East,NBA,1960,FALSE,East,N/A
Bob Cousy,East,NBA,1960,FALSE,East,N/A
Tom Gola,East,NBA,1960,FALSE,East,N/A
Richie Guerin,East,NBA,1960,FALSE,East,N/A
Willie Naulls,East,NBA,1960,FALSE,East,N/A
Bill Russell,East,NBA,1960,FALSE,East,N/A
Dolph Schayes,East,NBA,1960,FALSE,East,N/A
Bill Sharman,East,NBA,1960,FALSE,East,N/A
George Yardley,East,NBA,1960,FALSE,East,N/A
Elgin Baylor,West,NBA,1960,FALSE,West,N/A
Walter Dukes,West,NBA,1960,FALSE,West,N/A
Dick Garmaker,West,NBA,1960,FALSE,West,N/A
Cliff Hagan,West,NBA,1960,FALSE,West,N/A
Hot Rod Hundley,West,NBA,1960,FALSE,West,N/A
Clyde Lovellette,West,NBA,1960,FALSE,West,N/A
Chuck Noble,West,NBA,1960,FALSE,West,N/A
Bob Pettit,West,NBA,1960,FALSE,West,N/A
Gene Shue,West,NBA,1960,FALSE,West,N/A
Jack Twyman,West,NBA,1960,FALSE,West,N/A
Paul Arizin,East,NBA,1959,FALSE,East,N/A
Larry Costello,East,NBA,1959,FALSE,East,N/A
Bob Cousy,East,NBA,1959,FALSE,East,N/A
Richie Guerin,East,NBA,1959,FALSE,East,N/A
Red Kerr,East,NBA,1959,FALSE,East,N/A
Bill Russell,East,NBA,1959,FALSE,East,N/A
Woody Sauldsberry,East,NBA,1959,FALSE,East,N/A
Dolph Schayes,East,NBA,1959,FALSE,East,N/A
Kenny Sears,East,NBA,1959,FALSE,East,N/A
Bill Sharman,East,NBA,1959,FALSE,East,N/A
Elgin Baylor,West,NBA,1959,FALSE,West,N/A
Larry Foust,West,NBA,1959,FALSE,West,N/A
Dick Garmaker,West,NBA,1959,FALSE,West,N/A
Cliff Hagan,West,NBA,1959,FALSE,West,N/A
Slater Martin,West,NBA,1959,FALSE,West,N/A
Dick McGuire,West,NBA,1959,FALSE,West,N/A
Bob Pettit,West,NBA,1959,FALSE,West,N/A
Gene Shue,West,NBA,1959,FALSE,West,N/A
Jack Twyman,West,NBA,1959,FALSE,West,N/A
George Yardley,West,NBA,1959,FALSE,West,N/A
Paul Arizin,East,NBA,1958,FALSE,East,N/A
Larry Costello,East,NBA,1958,FALSE,East,N/A
Bob Cousy,East,NBA,1958,FALSE,East,N/A
Richie Guerin,East,NBA,1958,FALSE,East,N/A
Neil Johnston,East,NBA,1958,FALSE,East,N/A
Willie Naulls,East,NBA,1958,FALSE,East,N/A
Bill Russell,East,NBA,1958,FALSE,East,N/A
Dolph Schayes,East,NBA,1958,FALSE,East,N/A
Kenny Sears,East,NBA,1958,FALSE,East,N/A
Bill Sharman,East,NBA,1958,FALSE,East,N/A
Larry Foust,West,NBA,1958,FALSE,West,N/A
Dick Garmaker,West,NBA,1958,FALSE,West,N/A
Cliff Hagan,West,NBA,1958,TRUE,West,N/A
Slater Martin,West,NBA,1958,FALSE,West,N/A
Dick McGuire,West,NBA,1958,FALSE,West,N/A
Bob Pettit,West,NBA,1958,FALSE,West,N/A
Gene Shue,West,NBA,1958,FALSE,West,N/A
Maurice Stokes,West,NBA,1958,FALSE,West,N/A
Jack Twyman,West,NBA,1958,FALSE,West,N/A
George Yardley,West,NBA,1958,FALSE,West,N/A
Paul Arizin,East,NBA,1957,FALSE,East,N/A
Carl Braun,East,NBA,1957,FALSE,East,N/A
Nat Clifton,East,NBA,1957,FALSE,East,N/A
Bob Cousy,East,NBA,1957,FALSE,East,N/A
Harry Gallatin,East,NBA,1957,FALSE,East,N/A
Jack George,East,NBA,1957,FALSE,East,N/A
Tom Heinsohn,East,NBA,1957,FALSE,East,N/A
Neil Johnston,East,NBA,1957,FALSE,East,N/A
Dolph Schayes,East,NBA,1957,FALSE,East,N/A
Bill Sharman,East,NBA,1957,FALSE,East,N/A
Dick Garmaker,West,NBA,1957,FALSE,West,N/A
Mel Hutchins,West,NBA,1957,FALSE,West,N/A
Clyde Lovellette,West,NBA,1957,TRUE,West,N/A
Ed Macauley,West,NBA,1957,FALSE,West,N/A
Slater Martin,West,NBA,1957,FALSE,West,N/A
Vern Mikkelsen,West,NBA,1957,FALSE,West,N/A
Bob Pettit,West,NBA,1957,FALSE,West,N/A
Richie Regan,West,NBA,1957,FALSE,West,N/A
Maurice Stokes,West,NBA,1957,FALSE,West,N/A
Jack Twyman,West,NBA,1957,FALSE,West,N/A
George Yardley,West,NBA,1957,FALSE,West,N/A
Paul Arizin,East,NBA,1956,FALSE,East,N/A
Carl Braun,East,NBA,1956,TRUE,East,N/A
Bob Cousy,East,NBA,1956,FALSE,East,N/A
Harry Gallatin,East,NBA,1956,FALSE,East,N/A
Jack George,East,NBA,1956,FALSE,East,N/A
Neil Johnston,East,NBA,1956,FALSE,East,N/A
Red Kerr,East,NBA,1956,FALSE,East,N/A
Ed Macauley,East,NBA,1956,FALSE,East,N/A
Dick McGuire,East,NBA,1956,FALSE,East,N/A
Dolph Schayes,East,NBA,1956,FALSE,East,N/A
Bill Sharman,East,NBA,1956,FALSE,East,N/A
Larry Foust,West,NBA,1956,FALSE,West,N/A
Bob Harrison,West,NBA,1956,FALSE,West,N/A
Mel Hutchins,West,NBA,1956,FALSE,West,N/A
Clyde Lovellette,West,NBA,1956,FALSE,West,N/A
Slater Martin,West,NBA,1956,FALSE,West,N/A
Vern Mikkelsen,West,NBA,1956,FALSE,West,N/A
Bob Pettit,West,NBA,1956,FALSE,West,N/A
Maurice Stokes,West,NBA,1956,FALSE,West,N/A
Bobby Wanzer,West,NBA,1956,FALSE,West,N/A
